ID,eventName,startYear,endYear,signWithCountry,type,category
190,signing defense cooperation agreement,1984,1984,Canada,sector,PROCUREMENT
30,signing defense cooperation agreement,1984,1984,United States,sector,PROCUREMENT
190,signing defense cooperation agreement,1994,1994,Canada,general,DCA
30,signing defense cooperation agreement,1994,1994,United States,general,DCA
190,signing defense cooperation agreement,1996,1996,Canada,sector,PROCUREMENT
30,signing defense cooperation agreement,1996,1996,United States,sector,PROCUREMENT
190,signing defense cooperation agreement,1996,1996,Canada,sector,RESEARCH
30,signing defense cooperation agreement,1996,1996,United States,sector,RESEARCH
190,signing defense cooperation agreement,1999,1999,Canada,sector,PROCUREMENT
30,signing defense cooperation agreement,1999,1999,United States,sector,PROCUREMENT
190,signing defense cooperation agreement,2002,2002,Canada,general,DCA
30,signing defense cooperation agreement,2002,2002,United States,general,DCA
190,signing defense cooperation agreement,2009,2009,Colombia,sector,RESEARCH
36,signing defense cooperation agreement,2009,2009,United States,sector,RESEARCH
190,signing defense cooperation agreement,2009,2009,Colombia,general,DCA
36,signing defense cooperation agreement,2009,2009,United States,general,DCA
190,signing defense cooperation agreement,1983,1983,Brazil,general,DIC
23,signing defense cooperation agreement,1983,1983,United States,general,DIC
190,signing defense cooperation agreement,1984,1984,Brazil,general,DIC
23,signing defense cooperation agreement,1984,1984,United States,general,DIC
190,signing defense cooperation agreement,2010,2010,Brazil,general,DCA
23,signing defense cooperation agreement,2010,2010,United States,general,DCA
190,signing defense cooperation agreement,2006,2006,Paraguay,general,DCA
139,signing defense cooperation agreement,2006,2006,United States,general,DCA
190,signing defense cooperation agreement,1996,1996,Chile,general,DCA
34,signing defense cooperation agreement,1996,1996,United States,general,DCA
190,signing defense cooperation agreement,2008,2008,Chile,sector,RESEARCH
34,signing defense cooperation agreement,2008,2008,United States,sector,RESEARCH
190,signing defense cooperation agreement,1992,1992,Argentina,sector,TREX
6,signing defense cooperation agreement,1992,1992,United States,sector,TREX
190,signing defense cooperation agreement,1998,1998,Argentina,sector,RESEARCH
6,signing defense cooperation agreement,1998,1998,United States,sector,RESEARCH
190,signing defense cooperation agreement,1999,1999,Argentina,sector,COMMISSION
6,signing defense cooperation agreement,1999,1999,United States,sector,COMMISSION
190,signing defense cooperation agreement,2000,2000,Argentina,sector,RESEARCH
6,signing defense cooperation agreement,2000,2000,United States,sector,RESEARCH
190,signing defense cooperation agreement,2008,2008,Argentina,sector,TREX
6,signing defense cooperation agreement,2008,2008,United States,sector,TREX
190,signing defense cooperation agreement,1988,1988,United Kingdom,sector,RESEARCH
189,signing defense cooperation agreement,1988,1988,United States,sector,RESEARCH
190,signing defense cooperation agreement,1993,1993,United Kingdom,general,DCA
189,signing defense cooperation agreement,1993,1993,United States,general,DCA
190,signing defense cooperation agreement,1994,1994,United Kingdom,sector,RESEARCH
189,signing defense cooperation agreement,1994,1994,United States,sector,RESEARCH
190,signing defense cooperation agreement,1994,1994,United Kingdom,general,DIC
189,signing defense cooperation agreement,1994,1994,United States,general,DIC
190,signing defense cooperation agreement,2000,2000,United Kingdom,sector,RESEARCH
189,signing defense cooperation agreement,2000,2000,United States,sector,RESEARCH
190,signing defense cooperation agreement,2004,2004,United Kingdom,general,DIC
